url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job?jobId=26284487&slug=field-technician,N/A,Field Technician,Ensetcorp Oil & Gas Sdn Bhd,"MYR1,800 - MYR2,500 Per Month",Full Time,Labuan,"MYR1,800 - MYR2,500 Per Month",4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26284206&slug=qhse-coordinator,N/A,QHSE Coordinator,DELEUM,Undisclosed,Full Time,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26282383&slug=qa-qc-coordinator,N/A,QA-QC COORDINATOR,Geowell Sdn Bhd,"MYR2,800 - MYR5,500 Per Month",Full Time,Labuan,"MYR2,800 - MYR5,500 Per Month",4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26274695&slug=internship-audit-assurance-labuan,N/A,Internship - Audit Assurance (Labuan),ACCA Careers,Undisclosed,Full Time,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26274152&slug=executive-officer-operations-labuan,N/A,"Executive Officer, Operations (Labuan)",CIMB,Undisclosed,Full Time,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26269242&slug=technical-finance-support-executive,N/A,Technical - Finance Support Executive,Challenge Group (Malaysia),Undisclosed,Full Time,Labuan,Undisclosed,5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26267616&slug=qaqc-officer,N/A,QAQC Officer,Desa 7 Resources Sdn Bhd,Undisclosed,Full Time,Labuan,Undisclosed,5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26259903&slug=sales-advisor-nissan-labuan,N/A,SALES ADVISOR | NISSAN LABUAN,Tan Chong Group,"MYR1,700 - MYR1,700 Per Month",Full Time,Labuan,"MYR1,700 - MYR1,700 Per Month",5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26248850&slug=materials-coordinator,N/A,Materials Coordinator,ENEOS Xplora Malaysia Limited,Undisclosed,Full Time,Wilayah Persekutuan Labuan,Undisclosed,7 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26229050&slug=associate-captive-administration-based-in-labuan,N/A,"Associate, Captive Administration (based in Labuan)",Howden Insurance Brokers Limited,Undisclosed,Full Time,Wilayah Persekutuan Labuan,Undisclosed,11 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26227023&slug=account-executive,N/A,Account Executive,Leopad Group,Undisclosed,Full Time,Labuan,Undisclosed,11 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26219792&slug=safety-health-officer,N/A,Safety - Health Officer,Elsa Talent Solutions Sdn. Bhd.,"MYR1,700 - MYR99,999 Per Month",Full Time,Labuan,"MYR1,700 - MYR99,999 Per Month",11 days ago,N/A,sepenuh-masa-labuan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job/26266667-kru-kasual-hari-raya-haji-mcdonalds-labuan-airport,26266667,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan Airport ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/26266812-kru-kasual-hari-raya-haji-mcdonalds-labuan-sf-shop-front,26266812,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan (SF-Shop front) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678087-crew-member-part-time-dominos-pizza-labuan,15678087,Crew Member (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Labuan, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678068-delivery-rider-part-time-dominos-pizza-labuan,15678068,Delivery Rider (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Labuan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678049-crew-member-full-time-dominos-pizza-labuan,15678049,Crew Member (Full Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Labuan, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26308985&slug=manager-business-channels-customer-service-operations,N/A,Manager - Business Channels (Customer Service - Operations),Hong Leong Bank Berhad,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309423&slug=site-mechanical-and-electrical-supervisor,N/A,SITE MECHANICAL AND ELECTRICAL SUPERVISOR,TEAMCONS RESOURCES SDN. BHD.,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309488&slug=technical-finance-support-executive,N/A,Technical - Finance Support Executive,Challenge Group Underwriters & Managers (L) Inc,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309761&slug=admin-assistant,N/A,Admin Assistant,Company Confidential,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26305901&slug=manager-business-channels-branch,N/A,Manager - Business Channels (Branch),Hong Leong Bank Berhad,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26305306&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,967 - MYR2,967 Sebulan",Sepenuh Masa,Labuan,"MYR2,967 - MYR2,967 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26298166&slug=receptionist-labuan,N/A,Receptionist (Labuan),KuchingJobs,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292205&slug=account-executive,N/A,Account Executive,Sailion Shipping Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR5,000 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292197&slug=admin-executive,N/A,ADMIN EXECUTIVE,Sailion Shipping Sdn Bhd,"MYR2,000 - MYR4,000 Sebulan",Sepenuh Masa,Labuan,"MYR2,000 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292102&slug=maintenance-operator,N/A,Maintenance Operator,SABAH FLOUR & FEED MILLS SDN BHD,"MYR2,800 - MYR2,800 Sebulan",Sepenuh Masa,Labuan,"MYR2,800 - MYR2,800 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292119&slug=security-safety-guard,N/A,SECURITY - SAFETY GUARD,SABAH FLOUR & FEED MILLS SDN BHD,"MYR1,700 - MYR1,700 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR1,700 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292107&slug=junior-it-executive,N/A,Junior IT Executive,SABAH FLOUR & FEED MILLS SDN BHD,"MYR2,100 - MYR2,300 Sebulan",Sepenuh Masa,Labuan,"MYR2,100 - MYR2,300 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26286510&slug=credit-admin-reviewer-executive,N/A,Credit Admin - Reviewer Executive,RHB Banking Group,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26284487&slug=field-technician,N/A,Field Technician,Ensetcorp Oil & Gas Sdn Bhd,"MYR1,800 - MYR2,500 Sebulan",Sepenuh Masa,Labuan,"MYR1,800 - MYR2,500 Sebulan",4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26284206&slug=qhse-coordinator,N/A,QHSE Coordinator,DELEUM,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26282383&slug=qa-qc-coordinator,N/A,QA-QC COORDINATOR,Geowell Sdn Bhd,"MYR2,800 - MYR5,500 Sebulan",Sepenuh Masa,Labuan,"MYR2,800 - MYR5,500 Sebulan",4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26274695&slug=internship-audit-assurance-labuan,N/A,Internship - Audit Assurance (Labuan),ACCA Careers,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26274152&slug=executive-officer-operations-labuan,N/A,"Executive Officer, Operations (Labuan)",CIMB,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26269242&slug=technical-finance-support-executive,N/A,Technical - Finance Support Executive,Challenge Group (Malaysia),Undisclosed,Sepenuh Masa,Labuan,Undisclosed,5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26267616&slug=qaqc-officer,N/A,QAQC Officer,Desa 7 Resources Sdn Bhd,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26259903&slug=sales-advisor-nissan-labuan,N/A,SALES ADVISOR | NISSAN LABUAN,Tan Chong Group,"MYR1,700 - MYR1,700 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR1,700 Sebulan",5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26248850&slug=materials-coordinator,N/A,Materials Coordinator,ENEOS Xplora Malaysia Limited,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,Undisclosed,7 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26229050&slug=associate-captive-administration-based-in-labuan,N/A,"Associate, Captive Administration (based in Labuan)",Howden Insurance Brokers Limited,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,Undisclosed,11 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26227023&slug=account-executive,N/A,Account Executive,Leopad Group,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,11 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26219792&slug=safety-health-officer,N/A,Safety - Health Officer,Elsa Talent Solutions Sdn. Bhd.,"MYR1,700 - MYR99,999 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR99,999 Sebulan",11 days ago,N/A,sepenuh-masa-labuan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job/26266667-kru-kasual-hari-raya-haji-mcdonalds-labuan-airport,26266667,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan Airport ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/26266812-kru-kasual-hari-raya-haji-mcdonalds-labuan-sf-shop-front,26266812,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan (SF-Shop front) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678087-crew-member-part-time-dominos-pizza-labuan,15678087,Crew Member (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Labuan, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678068-delivery-rider-part-time-dominos-pizza-labuan,15678068,Delivery Rider (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Labuan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678049-crew-member-full-time-dominos-pizza-labuan,15678049,Crew Member (Full Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Labuan, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26308985&slug=manager-business-channels-customer-service-operations,N/A,Manager - Business Channels (Customer Service - Operations),Hong Leong Bank Berhad,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309423&slug=site-mechanical-and-electrical-supervisor,N/A,SITE MECHANICAL AND ELECTRICAL SUPERVISOR,TEAMCONS RESOURCES SDN. BHD.,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309488&slug=technical-finance-support-executive,N/A,Technical - Finance Support Executive,Challenge Group Underwriters & Managers (L) Inc,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309761&slug=admin-assistant,N/A,Admin Assistant,Company Confidential,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26305901&slug=manager-business-channels-branch,N/A,Manager - Business Channels (Branch),Hong Leong Bank Berhad,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26305306&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,967 - MYR2,967 Sebulan",Sepenuh Masa,Labuan,"MYR2,967 - MYR2,967 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26298166&slug=receptionist-labuan,N/A,Receptionist (Labuan),KuchingJobs,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292205&slug=account-executive,N/A,Account Executive,Sailion Shipping Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR5,000 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292197&slug=admin-executive,N/A,ADMIN EXECUTIVE,Sailion Shipping Sdn Bhd,"MYR2,000 - MYR4,000 Sebulan",Sepenuh Masa,Labuan,"MYR2,000 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292102&slug=maintenance-operator,N/A,Maintenance Operator,SABAH FLOUR & FEED MILLS SDN BHD,"MYR2,800 - MYR2,800 Sebulan",Sepenuh Masa,Labuan,"MYR2,800 - MYR2,800 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292119&slug=security-safety-guard,N/A,SECURITY - SAFETY GUARD,SABAH FLOUR & FEED MILLS SDN BHD,"MYR1,700 - MYR1,700 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR1,700 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292107&slug=junior-it-executive,N/A,Junior IT Executive,SABAH FLOUR & FEED MILLS SDN BHD,"MYR2,100 - MYR2,300 Sebulan",Sepenuh Masa,Labuan,"MYR2,100 - MYR2,300 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26286510&slug=credit-admin-reviewer-executive,N/A,Credit Admin - Reviewer Executive,RHB Banking Group,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26284487&slug=field-technician,N/A,Field Technician,Ensetcorp Oil & Gas Sdn Bhd,"MYR1,800 - MYR2,500 Sebulan",Sepenuh Masa,Labuan,"MYR1,800 - MYR2,500 Sebulan",4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26284206&slug=qhse-coordinator,N/A,QHSE Coordinator,DELEUM,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26282383&slug=qa-qc-coordinator,N/A,QA-QC COORDINATOR,Geowell Sdn Bhd,"MYR2,800 - MYR5,500 Sebulan",Sepenuh Masa,Labuan,"MYR2,800 - MYR5,500 Sebulan",4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26274695&slug=internship-audit-assurance-labuan,N/A,Internship - Audit Assurance (Labuan),ACCA Careers,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26274152&slug=executive-officer-operations-labuan,N/A,"Executive Officer, Operations (Labuan)",CIMB,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,4 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26269242&slug=technical-finance-support-executive,N/A,Technical - Finance Support Executive,Challenge Group (Malaysia),Undisclosed,Sepenuh Masa,Labuan,Undisclosed,5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26267616&slug=qaqc-officer,N/A,QAQC Officer,Desa 7 Resources Sdn Bhd,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26259903&slug=sales-advisor-nissan-labuan,N/A,SALES ADVISOR | NISSAN LABUAN,Tan Chong Group,"MYR1,700 - MYR1,700 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR1,700 Sebulan",5 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26248850&slug=materials-coordinator,N/A,Materials Coordinator,ENEOS Xplora Malaysia Limited,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,Undisclosed,7 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26229050&slug=associate-captive-administration-based-in-labuan,N/A,"Associate, Captive Administration (based in Labuan)",Howden Insurance Brokers Limited,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,Undisclosed,11 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26227023&slug=account-executive,N/A,Account Executive,Leopad Group,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,11 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26219792&slug=safety-health-officer,N/A,Safety - Health Officer,Elsa Talent Solutions Sdn. Bhd.,"MYR1,700 - MYR99,999 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR99,999 Sebulan",11 days ago,N/A,sepenuh-masa-labuan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job/26266667-kru-kasual-hari-raya-haji-mcdonalds-labuan-airport,26266667,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan Airport ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/26266812-kru-kasual-hari-raya-haji-mcdonalds-labuan-sf-shop-front,26266812,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan (SF-Shop front) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678087-crew-member-part-time-dominos-pizza-labuan,15678087,Crew Member (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Labuan, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678068-delivery-rider-part-time-dominos-pizza-labuan,15678068,Delivery Rider (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Labuan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job/15678049-crew-member-full-time-dominos-pizza-labuan,15678049,Crew Member (Full Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Labuan, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26308985&slug=manager-business-channels-customer-service-operations,N/A,Manager - Business Channels (Customer Service - Operations),Hong Leong Bank Berhad,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309423&slug=site-mechanical-and-electrical-supervisor,N/A,SITE MECHANICAL AND ELECTRICAL SUPERVISOR,TEAMCONS RESOURCES SDN. BHD.,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309488&slug=technical-finance-support-executive,N/A,Technical - Finance Support Executive,Challenge Group Underwriters & Managers (L) Inc,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26309761&slug=admin-assistant,N/A,Admin Assistant,Company Confidential,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,2 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26305901&slug=manager-business-channels-branch,N/A,Manager - Business Channels (Branch),Hong Leong Bank Berhad,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26305306&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,967 - MYR2,967 Sebulan",Sepenuh Masa,Labuan,"MYR2,967 - MYR2,967 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26298166&slug=receptionist-labuan,N/A,Receptionist (Labuan),KuchingJobs,Undisclosed,Sepenuh Masa,Labuan,Undisclosed,3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292205&slug=account-executive,N/A,Account Executive,Sailion Shipping Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR5,000 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292197&slug=admin-executive,N/A,ADMIN EXECUTIVE,Sailion Shipping Sdn Bhd,"MYR2,000 - MYR4,000 Sebulan",Sepenuh Masa,Labuan,"MYR2,000 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292119&slug=security-safety-guard,N/A,SECURITY - SAFETY GUARD,SABAH FLOUR & FEED MILLS SDN BHD,"MYR1,700 - MYR1,700 Sebulan",Sepenuh Masa,Labuan,"MYR1,700 - MYR1,700 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292102&slug=maintenance-operator,N/A,Maintenance Operator,SABAH FLOUR & FEED MILLS SDN BHD,"MYR2,800 - MYR2,800 Sebulan",Sepenuh Masa,Labuan,"MYR2,800 - MYR2,800 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
https://www.maukerja.my/job?jobId=26292107&slug=junior-it-executive,N/A,Junior IT Executive,SABAH FLOUR & FEED MILLS SDN BHD,"MYR2,100 - MYR2,300 Sebulan",Sepenuh Masa,Labuan,"MYR2,100 - MYR2,300 Sebulan",3 days ago,N/A,sepenuh-masa-labuan
